Index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
123,Coruripe,BR,78.22,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
124,Cidreira,BR,71.82,clear sky,-30.1811,-50.2056,Hotel Castelo
125,Lethem,GY,89.56,broken clouds,3.3803,-59.7968,Savannah Inn
126,Sinnamary,GF,83.17,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
127,Castro,BR,77.18,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
131,Arlit,NE,79.45,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
134,Neuquen,AR,75.09,light rain,-38.9516,-68.0591,Hotel del Comahue
137,Arica,CL,71.15,clear sky,-18.475,-70.3042,Americano
138,Caravelas,BR,78.4,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
142,Saint-Joseph,RE,68.38,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
144,Manyoni,TZ,73.38,scattered clouds,-5.7467,34.8382,bm lodge bm lodge
145,Upata,VE,87.19,overcast clouds,8.0086,-62.3989,Posada Villa Nela
146,Namibe,AO,69.75,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
148,Camopi,GF,84.34,overcast clouds,3.1655,-52.3158,La pousada
151,Jos,NG,67.28,broken clouds,9.9167,8.9,Silk Suites
156,Mitsamiouli,KM,76.33,clear sky,-11.3847,43.2844,Foyer ADM
157,Arraial Do Cabo,BR,80.56,light rain,-22.9661,-42.0278,Pousada Porto Praia
158,Navalmoral De La Mata,ES,70.95,overcast clouds,39.8916,-5.5406,Hotel Moya S A
160,Correntina,BR,90.39,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
161,Saint-Philippe,RE,69.39,few clouds,-21.3585,55.7679,Le four à pain
165,Moyale,KE,67.89,overcast clouds,3.5167,39.0584,La Tahzan Guest House
167,Minab,IR,79.12,overcast clouds,27.1467,57.0801,Bam campground
170,Aswan,EG,78.35,clear sky,24.0934,32.907,Nuba Nile
174,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
177,Dingle,PH,75.85,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
179,Santa Cruz,BO,87.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
180,Port Shepstone,ZA,66.31,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
181,Marsh Harbour,BS,79.97,clear sky,26.5412,-77.0636,Abaco Beach Resort
183,Angoche,MZ,76.6,clear sky,-16.2325,39.9086,Guest House HESADA
184,Mbanza-Ngungu,CD,69.24,overcast clouds,-5.25,14.8667,Hotel Full Business
185,Kassala,SD,87.89,few clouds,15.451,36.4,Amassi Hotel Gash
186,Zurrieq,MT,68.97,clear sky,35.8311,14.4742,Ta'Bertu Guest House
188,Touros,BR,79.68,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
192,Maldonado,UY,76.39,overcast clouds,-34.6667,-54.9167,La Cimarrona
193,Ituporanga,BR,81.59,clear sky,-27.4144,-49.6025,Hotel Jacaré
