Index,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Anna Paulowna,NL,2022-10-28 20:22:40,52.862,4.834,61.02,91,75,10.36,broken clouds
226,Kalemie,CD,2022-10-28 20:22:40,-5.9475,29.1947,74.98,70,82,6.64,broken clouds
227,Sur,OM,2022-10-28 20:22:41,22.5667,59.5289,78.64,74,0,2.48,clear sky
228,Tromso,NO,2022-10-28 20:22:41,69.6496,18.957,41.38,93,75,8.05,light intensity drizzle
229,Tougue,GN,2022-10-28 20:22:42,11.4667,-11.6,72.86,68,90,1.88,overcast clouds
230,Mayskiy,RU,2022-10-28 20:22:42,47.6931,40.1025,42.21,77,100,6.44,overcast clouds
231,Luderitz,NA,2022-10-28 20:23:43,-26.6481,15.1594,60.53,81,0,11.61,clear sky
232,San Rafael,AR,2022-10-28 20:20:41,-34.6177,-68.3301,86.07,9,98,4.23,overcast clouds
233,Harper,LR,2022-10-28 20:23:43,4.375,-7.7169,77.68,88,58,4.32,light rain
234,Adamas,GR,2022-10-28 20:23:44,36.7333,24.4333,66.33,68,11,29.35,few clouds
235,Sihora,IN,2022-10-28 20:23:44,23.4833,80.1167,64.22,60,0,2.15,clear sky
236,Ambilobe,MG,2022-10-28 20:23:45,-13.2,49.05,71.82,74,39,2.95,scattered clouds
237,Porto Real Do Colegio,BR,2022-10-28 20:23:45,-10.1858,-36.84,79.77,73,98,12.82,overcast clouds
238,Lebu,CL,2022-10-28 20:23:46,-37.6167,-73.65,55.33,99,100,8.61,overcast clouds
239,Thunder Bay,CA,2022-10-28 20:20:34,48.4001,-89.3168,58.98,47,40,17.27,scattered clouds
240,Wanparti,IN,2022-10-28 20:23:46,16.3667,78.0667,69.31,72,18,8.59,few clouds
241,Pedreira,BR,2022-10-28 20:23:47,-22.7419,-46.9014,75.87,88,82,5.19,broken clouds
242,Moose Factory,CA,2022-10-28 20:23:47,51.2585,-80.6094,57.2,47,0,20.71,clear sky
243,Gamba,GA,2022-10-28 20:23:48,-2.65,10.0,77.25,91,59,4.61,light rain
244,Hakkari,TR,2022-10-28 20:21:21,37.5833,44.1667,42.58,75,20,1.14,few clouds
245,Piacabucu,BR,2022-10-28 20:23:48,-10.4056,-36.4344,78.19,81,96,10.13,overcast clouds
246,Maragogi,BR,2022-10-28 20:23:49,-9.0122,-35.2225,78.37,74,47,9.78,scattered clouds
